model_name,target_name,feature_set,used_features,train_n,test_n,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc
Logistic Regression,label,visible debate indicators only,21,24119,6030,0.5728026533996683,0.5734273828679269,0.5740117540799469,0.5734273828679269,0.572180235760714,0.5741946807511329,0.5728026533996683,0.5719583303416085,0.5991944364245803
Random Forest,label,visible debate indicators only,21,24119,6030,0.5577114427860697,0.5582093237376636,0.5584988072739866,0.5582093237376636,0.5573386108417842,0.5586482607184523,0.5577114427860698,0.5571639124450333,0.599827211047226
Hist Gradient Boosting,label,visible debate indicators only,21,24119,6030,0.5772802653399668,0.5762299219765015,0.5781306579880261,0.5762299219765015,0.5741984447720551,0.5780567891351227,0.5772802653399668,0.5746910554671208,0.6158965066351662
Logistic Regression,label,institutional controls only,12,24119,6030,0.5421227197346601,0.5405876892932465,0.5427820938769843,0.5405876892932465,0.535406662848269,0.5427425699883363,0.5421227197346601,0.5361662720409367,0.5467805954397097
Random Forest,label,institutional controls only,12,24119,6030,0.545771144278607,0.5445525707968185,0.5460432901397714,0.5445525707968185,0.5414553700267986,0.5460227791465586,0.545771144278607,0.5420603161612402,0.5556668372843878
Hist Gradient Boosting,label,institutional controls only,12,24119,6030,0.5434494195688225,0.5416800534827141,0.5447276457116017,0.5416800534827141,0.5346541267325564,0.5446611390214318,0.5434494195688225,0.535524107447362,0.558082955861797
Logistic Regression,label,visible plus institutional controls,33,24119,6030,0.582089552238806,0.5825806641855945,0.5829717620651749,0.5825806641855945,0.5817571287019707,0.5831431867233793,0.582089552238806,0.581596783231262,0.5997610838435727
Random Forest,label,visible plus institutional controls,33,24119,6030,0.55787728026534,0.5583684251294816,0.5586503533057906,0.5583684251294816,0.557517266922013,0.5587991607924501,0.55787728026534,0.5573456326536826,0.5997950826887124
Hist Gradient Boosting,label,visible plus institutional controls,33,24119,6030,0.5825870646766169,0.5815196581542654,0.5836241122144061,0.5815196581542654,0.5794475611285833,0.5835355310705533,0.5825870646766169,0.5799416864470838,0.6165119517493671
