group_column,group_value,n,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro
is_voorzitter,0,3911,0.5717207875223728,0.5731717524267477,0.5763436106517337,0.5731717524267477,0.5678107201717535
is_voorzitter,1,2119,0.5988673902784333,0.5979602764893198,0.6000443138989133,0.5979602764893198,0.5963603294465241
long_speech_flag,0,4554,0.5766359244620114,0.5765755913530528,0.5772260830865613,0.5765755913530528,0.5757164453493993
long_speech_flag,1,1476,0.5955284552845529,0.5973691193054091,0.5972674980442686,0.5973691193054091,0.5955193578046083
sentiment_label,negative,1984,0.5735887096774194,0.5479416095518176,0.5681596855738336,0.5479416095518176,0.5240635888501742
sentiment_label,positive,4046,0.5850222441917944,0.5804323879612321,0.5818747346989865,0.5804323879612321,0.5801693491415275
speaker_party_clean,SGP,145,0.5448275862068965,0.5323809523809524,0.5680000000000001,0.5323809523809524,0.4683333333333334
speaker_party_clean,GroenLinks,244,0.5450819672131147,0.5315470171890799,0.540625,0.5315470171890799,0.5103324835927754
speaker_party_clean,PVV,482,0.5767634854771784,0.5466481175549952,0.5741493213920448,0.5466481175549952,0.5150044391831903
speaker_party_clean,Other,1769,0.5488976823063878,0.5490583200811088,0.5487385086562158,0.5490583200811088,0.5480853695702839
speaker_party_clean,PvdA,803,0.5853051058530511,0.5635220717331327,0.5774787383749389,0.5635220717331327,0.5529588583522944
speaker_party_clean,CDA,342,0.5877192982456141,0.596499040833105,0.6170968948746727,0.596499040833105,0.5722686914022654
speaker_party_clean,D66,585,0.576068376068376,0.5749069587809845,0.5751797124600639,0.5749069587809845,0.5748745838998546
speaker_party_clean,VVD,976,0.6362704918032787,0.5985461666016805,0.641039321019452,0.5985461666016805,0.5850176123182027
speaker_party_clean,SP,473,0.6088794926004228,0.594657312466271,0.6098034305746839,0.594657312466271,0.5873670808478533
speaker_party_clean,PvdD,118,0.6186440677966102,0.6,0.602283105022831,0.6,0.600721858786375
time_bin,evening,1041,0.6138328530259366,0.5117908354114713,0.5557993730407523,0.5117908354114713,0.4355942901534279
time_bin,morning,379,0.5013192612137203,0.4983412055780477,0.4983509419196154,0.4983412055780477,0.49817501628824234
time_bin,afternoon,4610,0.5804772234273319,0.5779936408683319,0.578335526032395,0.5779936408683319,0.5780450174163259
year,2013,539,0.5194805194805194,0.5,0.2597402597402597,0.5,0.3418803418803419
year,2016,111,0.5315315315315315,0.5,0.26576576576576577,0.5,0.34705882352941175
year,2015,417,0.5827338129496403,0.5,0.29136690647482016,0.5,0.36818181818181817
year,2023,613,0.5546492659053833,0.5057626972863717,0.6763157894736842,0.5057626972863717,0.36979043100039544
year,2019,361,0.5235457063711911,0.5075450242793043,0.5359970674486804,0.5075450242793043,0.39382224304904717
year,2014,1317,0.6195899772209568,0.5189263065821124,0.5957176210371098,0.5189263065821124,0.4426868256012839
year,2024,428,0.6612149532710281,0.5165347277701116,0.61783988957902,0.5165347277701116,0.44537289423119886
year,2025,469,0.6247334754797441,0.5285446261056017,0.6132118451025057,0.5285446261056017,0.46369353916523726
year,2018,285,0.5754385964912281,0.5242424242424243,0.5415081286751988,0.5242424242424243,0.4911390163644144
year,2017,133,0.5864661654135338,0.5666666666666667,0.657051282051282,0.5666666666666667,0.5048399106478034
year,2022,607,0.515650741350906,0.5206625942914285,0.5225087619588898,0.5206625942914285,0.5077292287322079
year,2021,156,0.6025641025641025,0.5889914304548451,0.625,0.5889914304548451,0.5647164716471647
year,2020,593,0.5952782462057336,0.5653564683663834,0.5711586901763224,0.5653564683663834,0.5647706422018349
