group_column,group_value,n,audited_column,missing_count,missing_rate
year,2024,2137,speaker_party_clean,0,0.0
year,2025,2373,speaker_party_clean,0,0.0
year,2026,8,speaker_party_clean,0,0.0
year,2013,2844,speech_duration_seconds,0,0.0
year,2014,6834,speech_duration_seconds,0,0.0
year,2015,1867,speech_duration_seconds,0,0.0
year,2016,477,speech_duration_seconds,0,0.0
year,2017,659,speech_duration_seconds,0,0.0
year,2018,1359,speech_duration_seconds,0,0.0
year,2019,1706,speech_duration_seconds,0,0.0
year,2020,2968,speech_duration_seconds,0,0.0
year,2021,785,speech_duration_seconds,0,0.0
year,2022,3079,speech_duration_seconds,0,0.0
year,2023,3053,speech_duration_seconds,0,0.0
year,2024,2137,speech_duration_seconds,0,0.0
year,2025,2373,speech_duration_seconds,0,0.0
year,2026,8,speech_duration_seconds,0,0.0
year,2013,2844,time_diff,0,0.0
year,2014,6834,time_diff,0,0.0
year,2015,1867,time_diff,0,0.0
year,2016,477,time_diff,0,0.0
year,2017,659,time_diff,0,0.0
year,2018,1359,time_diff,0,0.0
year,2019,1706,time_diff,0,0.0
year,2020,2968,time_diff,0,0.0
year,2021,785,time_diff,0,0.0
year,2022,3079,time_diff,0,0.0
year,2023,3053,time_diff,0,0.0
year,2024,2137,time_diff,0,0.0
year,2025,2373,time_diff,0,0.0
year,2026,8,time_diff,0,0.0
