group_column,group_value,n,audited_column,missing_count,missing_rate
speaker_party_clean,GroenLinks,1250,speaker_party_clean,0,0.0
speaker_party_clean,Other,8540,speaker_party_clean,0,0.0
speaker_party_clean,PVV,2470,speaker_party_clean,0,0.0
speaker_party_clean,PvdA,3985,speaker_party_clean,0,0.0
speaker_party_clean,PvdD,586,speaker_party_clean,0,0.0
speaker_party_clean,SGP,676,speaker_party_clean,0,0.0
speaker_party_clean,SP,2323,speaker_party_clean,0,0.0
speaker_party_clean,VVD,5004,speaker_party_clean,0,0.0
speaker_party_clean,CDA,1799,speech_duration_seconds,0,0.0
speaker_party_clean,ChristenUnie,514,speech_duration_seconds,0,0.0
speaker_party_clean,D66,3002,speech_duration_seconds,0,0.0
speaker_party_clean,GroenLinks,1250,speech_duration_seconds,0,0.0
speaker_party_clean,Other,8540,speech_duration_seconds,0,0.0
speaker_party_clean,PVV,2470,speech_duration_seconds,0,0.0
speaker_party_clean,PvdA,3985,speech_duration_seconds,0,0.0
speaker_party_clean,PvdD,586,speech_duration_seconds,0,0.0
speaker_party_clean,SGP,676,speech_duration_seconds,0,0.0
speaker_party_clean,SP,2323,speech_duration_seconds,0,0.0
speaker_party_clean,VVD,5004,speech_duration_seconds,0,0.0
speaker_party_clean,CDA,1799,time_diff,0,0.0
speaker_party_clean,ChristenUnie,514,time_diff,0,0.0
speaker_party_clean,D66,3002,time_diff,0,0.0
speaker_party_clean,GroenLinks,1250,time_diff,0,0.0
speaker_party_clean,Other,8540,time_diff,0,0.0
speaker_party_clean,PVV,2470,time_diff,0,0.0
speaker_party_clean,PvdA,3985,time_diff,0,0.0
speaker_party_clean,PvdD,586,time_diff,0,0.0
speaker_party_clean,SGP,676,time_diff,0,0.0
speaker_party_clean,SP,2323,time_diff,0,0.0
speaker_party_clean,VVD,5004,time_diff,0,0.0
