group_column,group,n,accepted_count,rejected_count,accepted_rate,rejected_rate
is_voorzitter,1,10592,5466,5126,0.5160498489425982,0.4839501510574018
is_voorzitter,0,19557,9811,9746,0.501661809070921,0.4983381909290791
