group_column,group,n,accepted_count,rejected_count,accepted_rate,rejected_rate
long_speech_flag,1,7408,3843,3565,0.5187634989200864,0.4812365010799136
long_speech_flag,0,22741,11434,11307,0.5027923134426806,0.4972076865573194
