threshold,balanced_accuracy,f1_macro,recall_rejected,recall_accepted,recall_gap_abs,selection_score,model_name
0.25,0.5,0.33629609246009906,0.0,1.0,1.0,0.08629609246009906,Mitigated D with threshold tuning
0.26,0.5,0.33629609246009906,0.0,1.0,1.0,0.08629609246009906,Mitigated D with threshold tuning
0.27,0.5,0.33629609246009906,0.0,1.0,1.0,0.08629609246009906,Mitigated D with threshold tuning
0.28,0.5,0.33629609246009906,0.0,1.0,1.0,0.08629609246009906,Mitigated D with threshold tuning
0.29000000000000004,0.5,0.33629609246009906,0.0,1.0,1.0,0.08629609246009906,Mitigated D with threshold tuning
0.30000000000000004,0.500086269113777,0.33663260321947336,0.00033619095646327115,0.9998363472710907,0.9995001563146274,0.0867575641408165,Mitigated D with threshold tuning
0.31000000000000005,0.5003041632728807,0.33762171833956495,0.0013447638258530846,0.9992635627199083,0.9979187988940552,0.08814201861605114,Mitigated D with threshold tuning
0.32000000000000006,0.5005629706142117,0.3386260976031476,0.002353336695242898,0.9987726045331806,0.9964192678379378,0.08952128064366316,Mitigated D with threshold tuning
0.33000000000000007,0.5013714203217874,0.34105141002667416,0.004706673390485796,0.998036167253089,0.9933294938626032,0.09271903656102337,Mitigated D with threshold tuning
0.3400000000000001,0.5018823708804658,0.342599020228056,0.006219532694570516,0.9975452090663611,0.9913256763717906,0.09476760113510835,Mitigated D with threshold tuning
0.3500000000000001,0.5022872422024213,0.3451731044551194,0.008993108085392503,0.9955813763194501,0.9865882682340575,0.09852603739660501,Mitigated D with threshold tuning
0.3600000000000001,0.5030581107897614,0.3477519310663816,0.011598587997982855,0.99451763358154,0.9829190455835571,0.1020221696704923,Mitigated D with threshold tuning
0.3700000000000001,0.5091647006813182,0.37370504507725,0.04025886703647672,0.9780705343261599,0.9378116672896831,0.13925212825482922,Mitigated D with threshold tuning
0.3800000000000001,0.5143256623833199,0.39459439907907384,0.06547318877122206,0.9631781359954177,0.8977049472241956,0.17016816227302495,Mitigated D with threshold tuning
0.3900000000000001,0.5200673656968228,0.4165575888936054,0.09438561102706337,0.9457491203665821,0.8513635093395188,0.2037167115587257,Mitigated D with threshold tuning
0.40000000000000013,0.5274766783513725,0.4486068497304005,0.1442259203227433,0.9107274363800016,0.7665015160572584,0.2569814707160859,Mitigated D with threshold tuning
0.41000000000000014,0.5318847247123282,0.4642747268256515,0.17128929231803663,0.8924801571066198,0.7211908647885832,0.2839770106285057,Mitigated D with threshold tuning
0.42000000000000015,0.5394936137816779,0.48612987924794493,0.21146411161539755,0.8675231159479584,0.6560590043325608,0.3221151281648047,Mitigated D with threshold tuning
0.43000000000000016,0.5481723457726051,0.5095876078216403,0.26138846865019333,0.8349562228950168,0.5735677542448234,0.3661956692604344,Mitigated D with threshold tuning
0.44000000000000017,0.5584581632417127,0.5330552534593707,0.3183728357707178,0.7985434907127076,0.4801706549419898,0.4130125897238732,Mitigated D with threshold tuning
0.4500000000000002,0.5640434075040017,0.5492674572625007,0.3756933938477055,0.7523934211602978,0.37670002731259233,0.45509245043435265,Mitigated D with threshold tuning
0.4600000000000002,0.5656645330328659,0.5565497806907109,0.41477559253656077,0.7165534735291711,0.3017778809926103,0.48110531044255833,Mitigated D with threshold tuning
0.4700000000000002,0.5691669015615631,0.5661950968037577,0.4785678265254665,0.6597659765976598,0.1811981500721933,0.5208955592857094,Mitigated D with threshold tuning
0.4800000000000002,0.570621025106224,0.5703165605949825,0.53597243234157,0.605269617870878,0.06929718552930797,0.5529922642126555,Mitigated D with threshold tuning
0.4900000000000002,0.5688672773204979,0.5688009402168517,0.5735417717263406,0.5641927829146551,0.009348988811685444,0.5664636930139303,Mitigated D with threshold tuning
0.5000000000000002,0.5676298512810984,0.5665412996128405,0.6099344427634896,0.5253252597987071,0.08460918296478248,0.5453890038716449,Mitigated D with threshold tuning
0.5100000000000002,0.5674384141756219,0.565502100825273,0.62640779963019,0.5084690287210539,0.11793877090913607,0.5360174080979889,Mitigated D with threshold tuning
0.5200000000000002,0.5653083084405264,0.5609587817216755,0.6571692721465793,0.4734473447344735,0.1837219274121058,0.5150282998686491,Mitigated D with threshold tuning
0.5300000000000002,0.566289643680363,0.5592583225353307,0.6849890737939149,0.4475902135668112,0.23739886022710371,0.49990860747855476,Mitigated D with threshold tuning
0.5400000000000003,0.5628373523640358,0.5505273673365714,0.7209615061354849,0.40471319859258653,0.3162483075428984,0.4714652904508468,Mitigated D with threshold tuning
0.5500000000000003,0.5583455711820666,0.539090338500545,0.7556732223903178,0.36101791997381555,0.3946553024165022,0.44042651289641943,Mitigated D with threshold tuning
0.5600000000000003,0.5522570652059017,0.5237324724496855,0.7903008909060346,0.31421323950576874,0.4760876514002659,0.404710559599619,Mitigated D with threshold tuning
0.5700000000000003,0.5485772480425046,0.507615135103599,0.830727853420743,0.2664266426642664,0.5643012107564765,0.36653983241447985,Mitigated D with threshold tuning
0.5800000000000003,0.5411115860588946,0.48807632270465695,0.8571188435031097,0.22510432861467966,0.6320145148884301,0.33007269398254946,Mitigated D with threshold tuning
0.5900000000000003,0.5379775496460387,0.47822083307166297,0.8707345772398722,0.20522052205220523,0.665514055187667,0.3118423192747462,Mitigated D with threshold tuning
0.6000000000000003,0.5294698119241164,0.45702036285256964,0.8894772230626996,0.1694624007855331,0.7200148222771665,0.277016657283278,Mitigated D with threshold tuning
0.6100000000000003,0.5192466709193269,0.4241991618264331,0.9208270297528997,0.11766631208575402,0.8031607176671456,0.22340898240964668,Mitigated D with threshold tuning
0.6200000000000003,0.5141898971907918,0.40538212499382514,0.9375525298369474,0.09082726454463629,0.8467252652923111,0.19370080867074738,Mitigated D with threshold tuning
0.6300000000000003,0.5137811298665281,0.4007421259905501,0.9437720625315179,0.08379019720153834,0.8599818653299796,0.1857466596580552,Mitigated D with threshold tuning
0.6400000000000003,0.5116138247025087,0.3841989050185461,0.9624306606152294,0.06079698878978807,0.9016336718254413,0.15879048706218576,Mitigated D with threshold tuning
0.6500000000000004,0.5030368426747777,0.34699769511784634,0.9883173642629013,0.01775632108665412,0.9705610431762471,0.10435743432378455,Mitigated D with threshold tuning
0.6600000000000004,0.5012825653353398,0.33496402896055283,0.9979828542612204,0.004582276409459128,0.9934005778517613,0.08661388449761251,Mitigated D with threshold tuning
0.6700000000000004,0.5,0.33034400422022936,1.0,0.0,1.0,0.08034400422022936,Mitigated D with threshold tuning
0.6800000000000004,0.5,0.33034400422022936,1.0,0.0,1.0,0.08034400422022936,Mitigated D with threshold tuning
0.6900000000000004,0.5,0.33034400422022936,1.0,0.0,1.0,0.08034400422022936,Mitigated D with threshold tuning
0.7000000000000004,0.5,0.33034400422022936,1.0,0.0,1.0,0.08034400422022936,Mitigated D with threshold tuning
0.7100000000000004,0.5,0.33034400422022936,1.0,0.0,1.0,0.08034400422022936,Mitigated D with threshold tuning
0.7200000000000004,0.5,0.33034400422022936,1.0,0.0,1.0,0.08034400422022936,Mitigated D with threshold tuning
0.7300000000000004,0.5,0.33034400422022936,1.0,0.0,1.0,0.08034400422022936,Mitigated D with threshold tuning
0.7400000000000004,0.5,0.33034400422022936,1.0,0.0,1.0,0.08034400422022936,Mitigated D with threshold tuning
0.7500000000000004,0.5,0.33034400422022936,1.0,0.0,1.0,0.08034400422022936,Mitigated D with threshold tuning
