Id,Soort,Onderwerp,Datum,Aanvangstijd,Eindtijd,Status,Vergaderjaar,Kamer
e5b0c26c-4d3a-4064-8676-00dbb4772589,Notaoverleg,Politie,2020-10-15T15:00:00+02:00,2020-10-15T15:00:00+02:00,2020-10-15T19:00:00+02:00,Uitgevoerd,2020-2021,Tweede Kamer
67533913-d15e-4b79-84a2-00dc310a417a,Inbreng schriftelijk overleg,Informele JBZ Raad 22-23 Januari 2026 (Cyprus),2026-01-19T12:00:00+01:00,2026-01-19T12:00:00+01:00,2026-01-19T12:00:00+01:00,Uitgevoerd,2025-2026,Tweede Kamer
0035102c-9bc0-427d-b7d2-00dc8112bc3e,Inbreng feitelijke vragen,Evaluatie Verdrag Beleid en Beheer Schelde-estuarium ,2014-05-15T12:00:00+02:00,2014-05-15T12:00:00+02:00,2014-05-15T12:00:00+02:00,Uitgevoerd,2013-2014,Tweede Kamer
f5fa06d3-09ce-4e20-84e1-00dcc84e8cfc,Procedurevergadering,Procedurevergadering,2011-10-27T09:30:00+02:00,2011-10-27T09:30:00+02:00,2011-10-27T10:00:00+02:00,Uitgevoerd,2011-2012,Tweede Kamer
cc502b7a-087f-435f-9f29-00de2164810b,Procedurevergadering,Procedures en brieven,2015-01-27T16:30:00+01:00,2015-01-27T16:30:00+01:00,2015-01-27T17:30:00+01:00,Uitgevoerd,2014-2015,Tweede Kamer
e97f4135-6868-4f32-852b-00e127c81982,Gesprek,"delegatievergadering werkbezoek Georgië, alleen voor delegatieleden",2009-04-23T16:30:00+02:00,2009-04-23T16:30:00+02:00,2009-04-23T17:15:00+02:00,Uitgevoerd,2008-2009,Tweede Kamer
1e3c1a4e-cf57-4314-8bed-00e31743d47e,Inbreng verslag (wetsvoorstel),Wijziging van Boek 6 van het Burgerlijk Wetboek en het Wetboek van Burgerlijke Rechtsvordering in verband met de normering van de vergoeding voor kosten ter verkrijging van voldoening buiten rechte (32418),2010-09-09T14:00:00+02:00,2010-09-09T14:00:00+02:00,2010-09-09T14:00:00+02:00,Uitgevoerd,2009-2010,Tweede Kamer
995347f5-3c06-45a7-b66a-00e3a994af85,Procedurevergadering,Procedurevergadering van de commissie voor de Verzoekschriften en de Burgerinitiatieven ,2021-10-14T10:00:00+02:00,2021-10-14T10:00:00+02:00,2021-10-14T11:00:00+02:00,Uitgevoerd,2020-2021,Tweede Kamer
9e00dab1-37bc-4512-92ab-00e476c84f83,Hamerstukken,"Hamerstuk: Goedkeuring van het op 27 september 2012 te Straatsburg tot stand gekomen Verdrag van Straatsburg van 2012 inzake de beperking van aansprakelijkheid in de binnenvaart (CLNI 2012) (Trb. 2013, 72) (34 621)",2017-02-16T10:14:00+01:00,2017-02-16T10:14:00+01:00,2017-02-16T10:15:00+01:00,Uitgevoerd,2016-2017,Tweede Kamer
0c25211e-e553-4f82-8850-00e4c8b20161,Vragenuur,Vragenuur,2010-09-14T14:00:00+02:00,2010-09-14T14:00:00+02:00,,Uitgevoerd,2009-2010,Tweede Kamer
75b548a2-d0ac-426e-ac2b-00e52840cec1,Algemeen overleg,Eurogroep/Ecofin Raad,2014-11-05T15:00:00+01:00,2014-11-05T15:00:00+01:00,2014-11-05T17:30:00+01:00,Uitgevoerd,2014-2015,Tweede Kamer
0f064ae6-b19f-4dd6-a370-00e6ef3cbd71,Werkbezoek,Medaille-uitreiking Hr. Ms. Haarlem te Den Helder,2011-07-07T10:00:00+02:00,2011-07-07T10:00:00+02:00,2011-07-07T12:00:00+02:00,Uitgevoerd,2010-2011,Tweede Kamer
2ed71688-4158-4b10-a543-00e71fea9dbd,Procedurevergadering,Extra procedurevergadering,2014-02-04T16:00:00+01:00,2014-02-04T16:00:00+01:00,2014-02-04T17:00:00+01:00,Uitgevoerd,2013-2014,Tweede Kamer
23a2aeb8-7679-4065-9289-00e7e78af2fe,Inbreng feitelijke vragen,Jaarverslag Provinciefonds 2015 ,2016-05-26T14:00:00+02:00,2016-05-26T14:00:00+02:00,2016-05-26T14:00:00+02:00,Uitgevoerd,2015-2016,Tweede Kamer
00e0178c-6bd9-4ba1-9b37-00e8e2d1785f,Afscheid,Afscheid van het lid De Neef (VVD),2022-09-06T15:00:00+02:00,2022-09-06T15:00:00+02:00,2022-09-06T15:15:00+02:00,Uitgevoerd,2021-2022,Tweede Kamer
be47a242-15b6-432e-ae56-00ebc56301c6,E-mailprocedure,[E-MAILPROCEDURE] Voorstel van de leden Flach (SGP) en Vedder (CDA) om een schriftelijk overleg te voeren over de Voorhang Instructieregel permanente bewoning recreatiewoningen en uitvoeringslast Toeslagen,2025-10-06T12:00:00+02:00,2025-10-06T12:00:00+02:00,2025-10-06T12:00:00+02:00,Uitgevoerd,2025-2026,Tweede Kamer
e4c07d7d-9cef-492e-b64f-00ed7cac22d7,Inbreng feitelijke vragen,27e voortgangsrapportage over het programma Ruimte voor de Rivier,2016-05-17T12:00:00+02:00,2016-05-17T12:00:00+02:00,2016-05-17T12:00:00+02:00,Uitgevoerd,2015-2016,Tweede Kamer
71325a9a-e408-406e-8d3a-00f0405474e0,Algemeen overleg,RBZ Gymnich ,2015-03-03T19:00:00+01:00,2015-03-03T19:00:00+01:00,2015-03-03T21:00:00+01:00,Uitgevoerd,2014-2015,Tweede Kamer
fa30e2b7-e1a6-4fc1-a0b9-00f044aa9764,Werkbezoek,IPC CFSP /CSDP in Athene,2014-04-03T10:00:00+02:00,2014-04-03T10:00:00+02:00,2014-04-04T23:59:59+02:00,Uitgevoerd,2013-2014,Tweede Kamer
01324326-ede4-4a6b-911b-00f0a367450b,Plenair debat (tweeminutendebat),Tweeminutendebat Subsidieregeling School en Omgeving 2025-2028 (31293-779),2025-01-29T10:45:00+01:00,2025-01-29T10:45:00+01:00,2025-01-29T11:00:00+01:00,Uitgevoerd,2024-2025,Tweede Kamer
702e6bd7-ca10-401a-b9d3-00f17933d97f,Algemeen overleg,Ontwikkelingen Griekenland (verplaatst naar donderdag 16 juli 2015),2015-07-15T13:30:00+02:00,2015-07-15T13:30:00+02:00,2015-07-15T16:30:00+02:00,Verplaatst,2014-2015,Tweede Kamer
f5436e52-2ffd-44d7-8a9b-00f1a335001a,Procedurevergadering,Procedurevergadering,2018-06-19T16:30:00+02:00,2018-06-19T16:30:00+02:00,2018-06-19T17:30:00+02:00,Uitgevoerd,2016-2017,Tweede Kamer
5759188b-af99-47f8-ab3a-00f1c5c77fb6,Procedurevergadering,Extra procedurevergadering Financiën,2019-04-11T15:30:00+02:00,2019-04-11T15:30:00+02:00,2019-04-11T16:00:00+02:00,Uitgevoerd,2018-2019,Tweede Kamer
2d5a972d-73d6-4905-a760-00f227c7372a,Werkbezoek,Werkbezoek aan Denemarken en Zweden (4-9 mei),2009-05-04T08:00:00+02:00,2009-05-04T08:00:00+02:00,2009-05-04T12:00:00+02:00,Uitgevoerd,2008-2009,Tweede Kamer
6d39f2f4-6b9f-4abd-b4bc-00f3e3526eb6,Commissiedebat,Arbeidsmarktbeleid - verplaatst naar 26 maart om 14.30 uur i.v.m. samenloop plenair,2025-03-06T13:00:00+01:00,2025-03-06T13:00:00+01:00,2025-03-06T18:00:00+01:00,Verplaatst,2024-2025,Tweede Kamer
484540df-307a-4f63-9547-00f5dcb187d6,Inbreng verslag (wetsvoorstel),Overige fiscale maatregelen 2025,2024-10-03T14:00:00+02:00,2024-10-03T14:00:00+02:00,2024-10-03T14:00:00+02:00,Uitgevoerd,2024-2025,Tweede Kamer
4ab47c8a-546c-4584-a711-00f6c6b61541,Technische briefing,ARK Rapport Centra voor Jeugd en Gezin in gemeenten; een samenwerkingsproject met gemeentelijke rekenkamers,2012-06-21T14:00:00+02:00,2012-06-21T14:00:00+02:00,2012-06-21T15:00:00+02:00,Uitgevoerd,2011-2012,Tweede Kamer
3606cc20-ea08-43ff-9f20-00f79edbe8a6,Petitie,Invoering OV-chipkaart/afschaffing strippenkaart voor visueel gehandicapten  ,2009-01-27T13:30:00+01:00,2009-01-27T13:30:00+01:00,2009-01-27T13:45:00+01:00,Uitgevoerd,2008-2009,Tweede Kamer
3edf1948-92c1-43b9-93e9-00f817d98f28,Algemeen overleg,Slachtofferbeleid (tot nader order uitgesteld),2017-02-23T13:00:00+01:00,2017-02-23T13:00:00+01:00,2017-02-23T16:00:00+01:00,Verplaatst,2016-2017,Tweede Kamer
012cf79e-8de7-430d-b886-00fa14edd080,Algemeen overleg,Mensenhandel en prostitutie,2016-04-26T16:30:00+02:00,2016-04-26T16:30:00+02:00,2016-04-26T19:30:00+02:00,Uitgevoerd,2014-2015,Tweede Kamer
e6008fe2-a10c-450d-8dae-00fb92054575,Rondetafelgesprek,Grondbeleid,2014-04-03T10:00:00+02:00,2014-04-03T10:00:00+02:00,2014-04-03T12:00:00+02:00,Uitgevoerd,2013-2014,Tweede Kamer
2318a602-b744-4d1d-b752-00fc035e6e36,Plenair debat (debat),Debat over buitenlandse spionage via mobiele netwerken ,2021-06-29T18:45:00+02:00,2021-06-29T18:45:00+02:00,2021-06-29T21:15:00+02:00,Uitgevoerd,2020-2021,Tweede Kamer
d57c305c-c23d-465c-a1bb-00fc925718d4,Plenair debat (wetgeving),Algemene Financiële Beschouwingen (35570-IX) (voortzetting),2020-10-01T10:16:00+02:00,2020-10-01T10:16:00+02:00,2020-10-01T17:32:00+02:00,Uitgevoerd,2019-2020,Tweede Kamer
5896ce2d-410f-479d-ba92-00fcc8d22f3a,Procedurevergadering,Procedurevergadering VROM,2009-10-07T11:30:00+02:00,2009-10-07T11:30:00+02:00,2009-10-07T12:30:00+02:00,Uitgevoerd,2009-2010,Tweede Kamer
3c2bec5a-fc09-40f3-b898-00fe0c2f8b6d,Vergadering,Commissiebijeenkomst,2016-03-07T10:00:00+01:00,2016-03-07T10:00:00+01:00,2016-03-07T16:00:00+01:00,Uitgevoerd,2015-2016,Tweede Kamer
b9c59b96-c62f-478f-9e40-0100f73b1c35,Plenair debat (debat),Debat over de 125 miljoen euro voor woningcorporatie Humanitas,2018-04-05T14:15:00+02:00,2018-04-05T14:15:00+02:00,2018-04-05T16:15:00+02:00,Uitgevoerd,2017-2018,Tweede Kamer
ad706e49-d7d4-4e88-8870-0102812455ff,Plenair debat (tweeminutendebat),VSO JBZ-Raad d.d. 6 en 7 juni 2019 (deel asiel- en vreemdelingenbeleid),2019-06-05T20:30:00+02:00,2019-06-05T20:30:00+02:00,2019-06-05T20:40:00+02:00,Uitgevoerd,2018-2019,Tweede Kamer
0573e43d-17d5-4e0a-a0af-0102acd43727,Inbreng schriftelijk overleg,Informele Raad voor Werkgelegenheid en Sociaal Beleid op 12 en 13 februari 2026,2026-02-05T10:00:00+01:00,2026-02-05T10:00:00+01:00,2026-02-05T10:00:00+01:00,Uitgevoerd,2025-2026,Tweede Kamer
939456fe-6adf-4ea6-8d3d-0104938f7f04,Inbreng schriftelijk overleg,Voorhang - Waardering voor Betere Zorg IV - 29248-109,2010-02-12T12:00:00+01:00,2010-02-12T12:00:00+01:00,2010-02-12T12:00:00+01:00,Uitgevoerd,2009-2010,Tweede Kamer
1c56410b-f44f-4021-8253-01049e9f81cf,Inbreng verslag (wetsvoorstel),Goedkeuring van het op 19 mei 2016 te Brussel tot stand gekomen Protocol bij het Noord-Atlantisch Verdrag inzake de toetreding van Montenegro ,2016-09-29T14:00:00+02:00,2016-09-29T14:00:00+02:00,2016-09-29T14:00:00+02:00,Uitgevoerd,2015-2016,Tweede Kamer
e4860ace-5d26-4549-9a04-0105680a5f3d,Gesprek,Toelichting op het rapport Zicht op chemische stoffen en op de EU-strategie duurzame chemische stoffen (via videoverbinding). ,2020-11-30T13:00:00+01:00,2020-11-30T13:00:00+01:00,2020-11-30T14:00:00+01:00,Uitgevoerd,2020-2021,Tweede Kamer
4af5a941-eda8-476c-accd-01075196c54f,Algemeen overleg,Rusland,2013-04-03T17:00:00+02:00,2013-04-03T17:00:00+02:00,2013-04-03T19:00:00+02:00,Uitgevoerd,2012-2013,Tweede Kamer
d571896d-e24e-4991-b674-0108199b7188,Gesprek,"Minister van Buitenlandse Zaken van de Palestijnse Autoriteit, Riad Malki geannuleerd",2019-12-04T11:00:00+01:00,2019-12-04T11:00:00+01:00,2019-12-04T12:00:00+01:00,Geannuleerd,2019-2020,Tweede Kamer
71c4d39c-003f-48b7-8227-010b613c3120,Inbreng feitelijke vragen,Rapportage van de second opinion over kortere opvolgtijden op het spoor in zijn algemeenheid en meer specifiek voor de OV-SAAL corridor,2012-10-31T12:00:00+01:00,2012-10-31T12:00:00+01:00,2012-10-31T12:00:00+01:00,Uitgevoerd,2012-2013,Tweede Kamer
