model_name,requested_features,used_features,status,warning,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,train_n,test_n,fully_missing_columns_removed_count
Model B without sentiment columns,22,22,ok,,0.5711442786069652,0.5717281007826995,0.5722233990411929,0.5717281007826995,0.5706135341721419,0.572398276265712,0.5711442786069652,0.5704082462303706,0.5982918716133189,24119,6030,0
Model B with sentiment columns,25,25,ok,,0.5742951907131012,0.5750081641239785,0.5757955887871249,0.5750081641239785,0.5734463159291148,0.5759940285323991,0.5742951907131012,0.5731875511250742,0.598264144399807,24119,6030,0
Model C with party indicators,36,36,ok,,0.5812603648424544,0.5818302689627733,0.5823634515796688,0.5818302689627733,0.5807758362559413,0.5825472993692046,0.5812603648424544,0.580582024821336,0.5989657969417324,24119,6030,0
Model C after removing fully missing columns from the dataset,36,36,ok,,0.5812603648424544,0.5818302689627733,0.5823634515796688,0.5818302689627733,0.5807758362559413,0.5825472993692046,0.5812603648424544,0.580582024821336,0.5989657969417324,24119,6030,2
Model C after filtering speech_duration_seconds above the 99th percentile,36,36,ok,,0.5812603648424544,0.5818302689627733,0.5823634515796688,0.5818302689627733,0.5807758362559413,0.5825472993692046,0.5812603648424544,0.580582024821336,0.5989657969417324,24119,6030,0
