group_column,group,n,accepted_count,rejected_count,accepted_rate,rejected_rate
time_bin,afternoon,22852,12004,10848,0.5252931909679678,0.4747068090320322
time_bin,morning,2023,1047,976,0.5175481957488878,0.4824518042511122
time_bin,evening,5274,2226,3048,0.42207053469852107,0.5779294653014789
