model_name,requested_features,used_features,status,warning,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,train_n,test_n
Model A structural temporal only,14,14,ok,,0.5703150912106136,0.5712483759774942,0.5725640231736372,0.5712483759774942,0.5687175233424219,0.5727900187875684,0.5703150912106136,0.5683605735735071,0.5989615058253556,24119,6030
Model B add speech and sentiment,25,25,ok,,0.5742951907131012,0.5750081641239785,0.5757955887871249,0.5750081641239785,0.5734463159291148,0.5759940285323991,0.5742951907131012,0.5731875511250742,0.598264144399807,24119,6030
Model C add party indicators,36,36,ok,,0.5812603648424544,0.5818302689627733,0.5823634515796688,0.5818302689627733,0.5807758362559413,0.5825472993692046,0.5812603648424544,0.580582024821336,0.5989657969417324,24119,6030
