component,feature,loading,abs_loading
pc1,mean_log_speech_duration,0.35076455837040593,0.35076455837040593
pc1,mean_speech_duration,0.34019255039042257,0.34019255039042257
pc1,median_speech_duration,0.3063819064920747,0.3063819064920747
pc1,share_long_speeches,0.3054561383373103,0.3054561383373103
pc1,share_evening,-0.21240699865883836,0.21240699865883836
pc1,n_unique_speakers,0.20388631690893408,0.20388631690893408
pc1,share_chair_speeches,-0.200624088107495,0.200624088107495
pc1,mean_log_speaker_freq,-0.19340055803981127,0.19340055803981127
pc1,topic_share_infrastructure_and_transport,0.1904715325087332,0.1904715325087332
pc1,share_afternoon,0.19023961970396133,0.19023961970396133
pc1,mean_speaker_freq,-0.18466735037906173,0.18466735037906173
pc1,topic_share_economy_and_finance,-0.17778327839429145,0.17778327839429145
pc1,n_unique_motions,0.1727368025136696,0.1727368025136696
pc1,topic_share_governance_and_administration,-0.1697771387457542,0.1697771387457542
pc1,topic_share_public_safety_and_policing,0.16284084001999397,0.16284084001999397
pc1,share_negative_sentiment,-0.16221360392811465,0.16221360392811465
pc1,topic_share_employment_and_labour,0.15608246497962575,0.15608246497962575
pc1,topic_share_social_welfare,-0.15177873667749223,0.15177873667749223
pc1,mean_sentiment_score,0.15160895102184552,0.15160895102184552
pc1,mean_sentiment_pos,0.1516073116515545,0.1516073116515545
pc1,mean_sentiment_neg,-0.15160731165155442,0.15160731165155442
pc1,topic_share_environment_and_climate,0.12230855825552052,0.12230855825552052
pc1,n_speeches,0.10797320153559813,0.10797320153559813
pc1,share_morning,0.08214003386648305,0.08214003386648305
pc1,accepted_rate,0.07881872626539033,0.07881872626539033
pc1,topic_share_education,-0.06416641575103257,0.06416641575103257
pc2,accepted_rate,0.29977657202249014,0.29977657202249014
pc2,share_negative_sentiment,-0.29476544907019525,0.29476544907019525
pc2,mean_sentiment_score,0.278354248149375,0.278354248149375
pc2,mean_sentiment_neg,-0.27833967105590135,0.27833967105590135
pc2,mean_sentiment_pos,0.2783396710559013,0.2783396710559013
pc2,share_chair_speeches,0.2694859474105198,0.2694859474105198
pc2,mean_log_speaker_freq,0.26007557171566503,0.26007557171566503
pc2,mean_speaker_freq,0.24709839492710878,0.24709839492710878
pc2,topic_share_public_safety_and_policing,-0.24514606610696885,0.24514606610696885
pc2,topic_share_environment_and_climate,-0.22325594049609462,0.22325594049609462
pc2,n_speeches,0.21001590253924748,0.21001590253924748
pc2,share_evening,-0.20235626751481073,0.20235626751481073
pc2,n_unique_motions,0.17661000669194638,0.17661000669194638
pc2,median_speech_duration,-0.16420526309803649,0.16420526309803649
pc2,share_afternoon,0.15448255576277092,0.15448255576277092
pc2,share_morning,0.14530432128276058,0.14530432128276058
pc2,share_long_speeches,-0.14444951847814963,0.14444951847814963
pc2,topic_share_education,-0.12559823318274058,0.12559823318274058
pc2,n_unique_speakers,0.12322600292833785,0.12322600292833785
pc2,topic_share_employment_and_labour,-0.11599448232777498,0.11599448232777498
pc2,topic_share_social_welfare,-0.11385671632407152,0.11385671632407152
pc2,mean_speech_duration,-0.0913048724776841,0.0913048724776841
pc2,mean_log_speech_duration,-0.05527102847838415,0.05527102847838415
pc2,topic_share_governance_and_administration,0.03500355768712412,0.03500355768712412
pc2,topic_share_economy_and_finance,0.01615249042477888,0.01615249042477888
pc2,topic_share_infrastructure_and_transport,0.0158926284949811,0.0158926284949811
pc3,topic_share_infrastructure_and_transport,0.31819660500580715,0.31819660500580715
pc3,topic_share_employment_and_labour,0.3031820234760438,0.3031820234760438
pc3,mean_sentiment_pos,0.260626622220694,0.260626622220694
pc3,mean_sentiment_neg,-0.2606266222206939,0.2606266222206939
pc3,mean_sentiment_score,0.2606051919264803,0.2606051919264803
pc3,n_unique_motions,-0.2525459856161929,0.2525459856161929
pc3,topic_share_public_safety_and_policing,-0.2519632124658455,0.2519632124658455
pc3,topic_share_education,0.25045154302044925,0.25045154302044925
pc3,n_speeches,-0.24467922681325766,0.24467922681325766
pc3,share_negative_sentiment,-0.2394316537072233,0.2394316537072233
pc3,topic_share_environment_and_climate,-0.2276394415959715,0.2276394415959715
pc3,n_unique_speakers,-0.19864644734981757,0.19864644734981757
pc3,share_afternoon,-0.19486980474678559,0.19486980474678559
pc3,share_evening,0.1801507656276196,0.1801507656276196
pc3,mean_log_speaker_freq,-0.17818871807553993,0.17818871807553993
pc3,accepted_rate,-0.1459157890166319,0.1459157890166319
pc3,topic_share_social_welfare,0.1413828040766358,0.1413828040766358
pc3,mean_speaker_freq,-0.139980557758379,0.139980557758379
pc3,share_long_speeches,-0.12796784830431546,0.12796784830431546
pc3,share_chair_speeches,-0.09152423798746626,0.09152423798746626
pc3,mean_log_speech_duration,-0.0836118041753058,0.0836118041753058
pc3,topic_share_economy_and_finance,0.05663015730687276,0.05663015730687276
pc3,topic_share_governance_and_administration,-0.049579298685298145,0.049579298685298145
pc3,mean_speech_duration,0.0466572486090919,0.0466572486090919
pc3,median_speech_duration,0.04185433863860741,0.04185433863860741
pc3,share_morning,0.014338020706130897,0.014338020706130897
