speaker_party_clean,most_common_category,share
CDA,Commissie,0.6238068500842223
ChristenUnie,Plenair,0.6057494866529775
D66,Plenair,0.7965817694369973
GroenLinks,Plenair,0.7402597402597403
Other,Plenair,0.6978383458646616
PVV,Plenair,0.8107667210440457
PvdA,Plenair,0.8048780487804879
PvdD,Commissie,0.7610921501706485
SGP,Commissie,0.6306990881458967
SP,Commissie,0.6352636127917026
VVD,Commissie,0.7268518518518519
