Topic_category,Stemmen - aangenomen,Stemmen - verworpen
Economy & Finance,0.48183932724995526,0.5181606727500447
Education,0.46172393007836043,0.5382760699216396
Employment & Labour,0.43333333333333335,0.5666666666666667
Environment & Climate,0.5038167938931297,0.4961832061068702
Governance & Administration,0.5434843011947763,0.4565156988052237
Housing,0.5575757575757576,0.44242424242424244
Infrastructure & Transport,0.45977011494252873,0.5402298850574713
Public Safety & Policing,0.4947916666666667,0.5052083333333334
Social Welfare,0.5217391304347826,0.4782608695652174
