speaker_party_clean,afternoon,evening,morning
CDA,1617,182,0
ChristenUnie,380,134,0
D66,2878,124,0
GroenLinks,848,216,186
Other,6794,656,1090
PVV,1825,221,424
PvdA,3622,363,0
PvdD,285,301,0
SGP,315,360,1
SP,1778,545,0
VVD,2510,2172,322
