speaker_party_clean,afternoon,evening,morning
CDA,0.8988326848249028,0.10116731517509728,0.0
ChristenUnie,0.7392996108949417,0.2607003891050584,0.0
D66,0.9586942038640907,0.041305796135909394,0.0
GroenLinks,0.6784,0.1728,0.1488
Other,0.7955503512880562,0.07681498829039812,0.12763466042154567
PVV,0.7388663967611336,0.08947368421052632,0.17165991902834007
PvdA,0.9089084065244668,0.09109159347553325,0.0
PvdD,0.4863481228668942,0.5136518771331058,0.0
SGP,0.46597633136094674,0.5325443786982249,0.0014792899408284023
SP,0.7653895824365046,0.2346104175634955,0.0
VVD,0.5015987210231815,0.434052757793765,0.06434852118305355
