speaker_party_clean,Early afternoon,Evening,Late afternoon,Late morning,Night
CDA,1324,182,275,0,0
ChristenUnie,248,42,197,0,0
D66,2860,32,92,0,0
GroenLinks,805,32,209,186,0
Other,6260,299,764,1090,99
PVV,1807,37,184,424,0
PvdA,3190,363,342,0,0
PvdD,216,135,235,0,0
SGP,173,10,474,1,0
SP,1652,121,541,0,0
VVD,2453,1299,786,331,99
