Topic_category,count,mean,median,std
Employment & Labour,720,0.7388891666666667,0.9958,0.5696023375742918
Housing,165,0.643720606060606,0.9952,0.7165784800769459
Governance & Administration,14396,0.4081040011114198,0.9777,0.7817201186427912
Infrastructure & Transport,5742,0.3796002264019505,0.9184,0.8314870700763671
Economy & Finance,5589,0.3278629808552514,0.9118,0.8527715560382452
Education,1659,0.03361326100060277,0.4871,0.9176700891924428
Social Welfare,414,-0.12067777777777777,-0.451,0.8200939713997933
Public Safety & Policing,384,-0.18099635416666668,-0.3506,0.8164421237914132
Environment & Climate,786,-0.9655833333333332,-0.9843500000000001,0.03955437492075367
