Topic_category,count,mean,median,std
Employment & Labour,720,184.075,151.0,111.28662107638122
Public Safety & Policing,384,127.1484375,149.0,41.894076896553784
Housing,165,96.43030303030304,123.0,44.07867470707353
Environment & Climate,786,80.16666666666667,87.5,30.049198865221275
Social Welfare,414,71.77777777777777,81.0,62.79000621340785
Infrastructure & Transport,5742,68.50087077673284,70.0,61.86801992270531
Governance & Administration,14396,67.83939983328702,28.0,71.78005979753237
Education,1659,54.33092224231465,19.0,56.493524313126684
Economy & Finance,5589,50.26999463231347,16.0,66.36032578193628
