speaker_party_clean,Commissie,Plenair
CDA,1111,670
ChristenUnie,192,295
D66,607,2377
GroenLinks,320,912
Other,2572,5940
PVV,464,1988
PvdA,760,3135
PvdD,446,140
SGP,415,243
SP,1470,844
VVD,3611,1357
