speaker_party_clean,Stemmen - aangenomen,Stemmen - verworpen
CDA,896,903
ChristenUnie,236,278
D66,1607,1395
GroenLinks,620,630
Other,4434,4106
PVV,1369,1101
PvdA,2170,1815
PvdD,276,310
SGP,321,355
SP,1115,1208
VVD,2233,2771
