time_bin,count,mean,median,std
morning,2023,0.5223008897676719,0.9174,0.7524379470517166
afternoon,22852,0.40969877910029756,0.9769,0.8135469955054391
evening,5274,-0.12897559726962457,-0.493,0.8278922378422757
