speaker_party_clean,most_common_category,share
CDA,positive,0.5025013896609227
ChristenUnie,positive,0.7587548638132295
D66,positive,0.6485676215856095
GroenLinks,positive,0.7
Other,positive,0.740632318501171
PVV,positive,0.7145748987854251
PvdA,positive,0.7909661229611041
PvdD,negative,0.5341296928327645
SGP,positive,0.7056213017751479
SP,positive,0.6198880757640981
VVD,negative,0.5029976019184652
