speaker_party_clean,n_speeches,pc1,pc2,pc3
Other,8540,5.343760723133317,2.0940021096225125,-1.7523907256721372
VVD,5004,-4.181701251664624,-0.7961310038686835,-1.4253778099955354
PvdA,3985,-1.3711217928806694,4.663073403371098,-0.46103004852747825
D66,3002,-0.9639273011505539,1.8820191766093908,-1.915306227029396
PVV,2470,-0.4239560833153067,2.055300498671022,0.323083861286912
SP,2323,0.2543640364743512,-0.9750094502399623,-0.062069479709935434
CDA,1799,2.8802576999875975,-4.115318602223632,-3.4079644785452574
GroenLinks,1250,0.7297350997962657,0.35061281133211797,2.0421916526473485
SGP,676,-1.299267114911887,-0.3951672219120196,3.1386427269614985
PvdD,586,-3.819134851849688,-2.9193394345764685,-0.5165788226293172
ChristenUnie,514,2.8509908363811975,-1.8440422867853707,4.0367993512133
