model_name,group_column,group_value,n,accuracy,balanced_accuracy,f1_macro
Mitigated D with missingness indicators,speaker_party_clean,D66,585,0.576068376068376,0.5749069587809845,0.5748745838998546
Mitigated D with missingness indicators,speaker_party_clean,GroenLinks,244,0.5327868852459017,0.5194472531176273,0.4982683982683983
Mitigated D with missingness indicators,speaker_party_clean,Other,1769,0.5488976823063878,0.5498862624609511,0.5484288470790554
Mitigated D with missingness indicators,speaker_party_clean,PVV,482,0.5746887966804979,0.5435092600643423,0.5083957312370955
Mitigated D with missingness indicators,speaker_party_clean,PvdA,803,0.5853051058530511,0.5635220717331327,0.5529588583522944
Mitigated D with missingness indicators,speaker_party_clean,PvdD,118,0.5932203389830508,0.5785714285714285,0.5785714285714285
Mitigated D with missingness indicators,speaker_party_clean,SGP,145,0.5448275862068965,0.5323809523809524,0.4683333333333334
Mitigated D with missingness indicators,speaker_party_clean,SP,473,0.6109936575052854,0.597616477783774,0.5916291291291291
Mitigated D with missingness indicators,speaker_party_clean,VVD,976,0.6362704918032787,0.600320074726951,0.5889990095075415
Mitigated D with missingness indicators,time_bin,afternoon,4610,0.5813449023861171,0.5789719397505433,0.5790280223415643
Mitigated D with missingness indicators,time_bin,evening,1041,0.6090297790585975,0.5069533198254363,0.4294738259552264
Mitigated D with missingness indicators,time_bin,morning,379,0.48812664907651715,0.4811206702654071,0.4808072534176929
Mitigated D with missingness indicators,is_voorzitter,0,3911,0.5701866530299157,0.5716229287114749,0.5663472642090823
Mitigated D with missingness indicators,is_voorzitter,1,2119,0.5988673902784333,0.597936219993977,0.5962379957497557
Mitigated D with missingness indicators,sentiment_label,negative,1984,0.5705645161290323,0.5452755663291046,0.5220672059063025
Mitigated D with missingness indicators,sentiment_label,positive,4046,0.5850222441917944,0.5804323879612321,0.5801693491415275
Mitigated D with missingness indicators,long_speech_flag,0,4554,0.5759771629336847,0.5759182752395501,0.5750992688610836
Mitigated D with missingness indicators,long_speech_flag,1,1476,0.5934959349593496,0.5952077360201066,0.593477274938994
Mitigated D with missingness indicators,year,2013,539,0.5194805194805194,0.5,0.3418803418803419
Mitigated D with missingness indicators,year,2014,1317,0.6180713743356112,0.5169655222683869,0.439053882754013
Mitigated D with missingness indicators,year,2015,417,0.5827338129496403,0.5,0.36818181818181817
Mitigated D with missingness indicators,year,2016,111,0.5315315315315315,0.5,0.34705882352941175
Mitigated D with missingness indicators,year,2017,133,0.5864661654135338,0.5666666666666667,0.5048399106478034
Mitigated D with missingness indicators,year,2018,285,0.5789473684210527,0.5272727272727272,0.4936034115138593
Mitigated D with missingness indicators,year,2019,361,0.5235457063711911,0.5075450242793043,0.39382224304904717
Mitigated D with missingness indicators,year,2020,593,0.5952782462057336,0.5653564683663834,0.5647706422018349
Mitigated D with missingness indicators,year,2021,156,0.5833333333333334,0.5706987475280159,0.5490727976164006
Mitigated D with missingness indicators,year,2022,607,0.515650741350906,0.5206625942914285,0.5077292287322079
Mitigated D with missingness indicators,year,2023,613,0.5546492659053833,0.5057626972863717,0.36979043100039544
Mitigated D with missingness indicators,year,2024,428,0.6612149532710281,0.5181567288837243,0.4505971193087758
Mitigated D with missingness indicators,year,2025,469,0.6204690831556503,0.5200348432055749,0.442472084201528
Mitigated D with threshold tuning,speaker_party_clean,CDA,342,0.5964912280701754,0.6034872567826802,0.587678221973721
Mitigated D with threshold tuning,speaker_party_clean,D66,585,0.5709401709401709,0.5686047328137069,0.5677827654720731
Mitigated D with threshold tuning,speaker_party_clean,GroenLinks,244,0.5286885245901639,0.5287832827772161,0.5283003009060803
Mitigated D with threshold tuning,speaker_party_clean,Other,1769,0.5455059355568117,0.5445403408008975,0.5440780110015515
Mitigated D with threshold tuning,speaker_party_clean,PVV,482,0.5767634854771784,0.5408051473784888,0.4887377550383728
Mitigated D with threshold tuning,speaker_party_clean,PvdA,803,0.5853051058530511,0.5632618510158014,0.5523091991260454
Mitigated D with threshold tuning,speaker_party_clean,PvdD,118,0.5932203389830508,0.5785714285714285,0.5785714285714285
Mitigated D with threshold tuning,speaker_party_clean,SGP,145,0.5448275862068965,0.5323809523809524,0.4683333333333334
Mitigated D with threshold tuning,speaker_party_clean,SP,473,0.5940803382663847,0.5862565209570066,0.5852544664060502
Mitigated D with threshold tuning,speaker_party_clean,VVD,976,0.632172131147541,0.5985033185793309,0.5894022506565294
Mitigated D with threshold tuning,time_bin,afternoon,4610,0.5778741865509761,0.5739319434234151,0.5736661556967819
Mitigated D with threshold tuning,time_bin,evening,1041,0.6061479346781941,0.5139222256857856,0.4604171934260429
Mitigated D with threshold tuning,time_bin,morning,379,0.49076517150395776,0.47000112460638777,0.4542775502286682
Mitigated D with threshold tuning,is_voorzitter,0,3911,0.5655842495525442,0.5662571693418957,0.5648919873084556
Mitigated D with threshold tuning,is_voorzitter,1,2119,0.5988673902784333,0.597936219993977,0.5962379957497557
Mitigated D with threshold tuning,sentiment_label,negative,1984,0.5665322580645161,0.5448695074382606,0.5295882132380512
Mitigated D with threshold tuning,sentiment_label,positive,4046,0.5825506673257538,0.5756966097767864,0.5740674361095919
Mitigated D with threshold tuning,long_speech_flag,0,4554,0.5740008783487044,0.5739735221959913,0.5738035107002104
Mitigated D with threshold tuning,long_speech_flag,1,1476,0.5873983739837398,0.5849130655895989,0.5849657887337145
Mitigated D with threshold tuning,year,2013,539,0.5139146567717996,0.49666988416988417,0.38203220724663045
Mitigated D with threshold tuning,year,2014,1317,0.6059225512528473,0.5236496829214957,0.48607022743728723
Mitigated D with threshold tuning,year,2015,417,0.5827338129496403,0.5,0.36818181818181817
Mitigated D with threshold tuning,year,2016,111,0.5315315315315315,0.5,0.34705882352941175
Mitigated D with threshold tuning,year,2017,133,0.5864661654135338,0.5666666666666667,0.5048399106478034
Mitigated D with threshold tuning,year,2018,285,0.5824561403508772,0.5234848484848484,0.47275553828216094
Mitigated D with threshold tuning,year,2019,361,0.5235457063711911,0.5075450242793043,0.39382224304904717
Mitigated D with threshold tuning,year,2020,593,0.5919055649241147,0.5598559962228518,0.5585517411098806
Mitigated D with threshold tuning,year,2021,156,0.5833333333333334,0.5706987475280159,0.5490727976164006
Mitigated D with threshold tuning,year,2022,607,0.5271828665568369,0.5299830438468729,0.5253225432896009
Mitigated D with threshold tuning,year,2023,613,0.5530179445350734,0.5039511030834731,0.3658939897311991
Mitigated D with threshold tuning,year,2024,428,0.6612149532710281,0.5181567288837243,0.4505971193087758
Mitigated D with threshold tuning,year,2025,469,0.6119402985074627,0.5040203698740284,0.3993948775682522
