model_name,used_features,threshold,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,train_n,test_n
Baseline A structural temporal,14,0.5,0.5703150912106136,0.5712483759774942,0.5725640231736372,0.5712483759774942,0.5687175233424219,0.5727900187875684,0.5703150912106136,0.5683605735735071,0.5989615058253556,24119,6030
Baseline C with party indicators,36,0.5,0.5812603648424544,0.5818302689627733,0.5823634515796688,0.5818302689627733,0.5807758362559413,0.5825472993692046,0.5812603648424544,0.580582024821336,0.5989657969417324,24119,6030
Mitigated D with missingness indicators,41,0.5,0.5802653399668325,0.5808170153547147,0.5813087301702392,0.5808170153547147,0.5798168668208006,0.581488473860742,0.5802653399668325,0.5796301927194066,0.5994832615653288,24119,6030
Mitigated D with threshold tuning,41,0.4900000000000002,0.5772802653399668,0.5773532042096072,0.5773446515333158,0.5773532042096072,0.5772776495485851,0.5774461836074433,0.5772802653399668,0.5772919492081384,0.5994832615653288,24119,6030
