model_name,class_value,class_label,precision,recall,f1_score,support
Baseline A structural temporal,0,rejected,0.55594507741747,0.6398789509078682,0.5949663904955448,2974.0
Baseline A structural temporal,1,accepted,0.5891829689298044,0.5026178010471204,0.542468656189299,3056.0
Baseline C with party indicators,0,rejected,0.5688439129101502,0.6237390719569603,0.595028067361668,2974.0
Baseline C with party indicators,1,accepted,0.5958829902491874,0.5399214659685864,0.5665236051502146,3056.0
Mitigated D with missingness indicators,0,rejected,0.5680909929296034,0.6213853396099529,0.5935442428135539,2974.0
Mitigated D with missingness indicators,1,accepted,0.594526467410875,0.5402486910994765,0.5660894908280473,3056.0
Mitigated D with threshold tuning,0,rejected,0.569878329496876,0.5827168796234028,0.5762261014131338,2974.0
Mitigated D with threshold tuning,1,accepted,0.5848109735697558,0.5719895287958116,0.5783291976840363,3056.0
