comparison,baseline_macro_f1,mitigated_macro_f1,macro_f1_change,baseline_balanced_accuracy,mitigated_balanced_accuracy,balanced_accuracy_change,baseline_threshold,mitigated_threshold,baseline_recall_gap_abs,mitigated_recall_gap_abs,recall_gap_change
Baseline C versus mitigated D with threshold tuning,0.5807758362559413,0.5772776495485851,-0.0034981867073562434,0.5818302689627733,0.5773532042096072,-0.004477064753166116,0.5,0.4900000000000002,,,
Outcome class gap before and after mitigation,,,,,,,,,0.08381760598837396,0.010727350827591242,-0.07309025516078271
