model_name,class_value,class_label,precision,recall,f1_score,support
Model A structural temporal only,0,rejected,0.55594507741747,0.6398789509078682,0.5949663904955448,2974.0
Model A structural temporal only,1,accepted,0.5891829689298044,0.5026178010471204,0.542468656189299,3056.0
Model B add speech and sentiment,0,rejected,0.561203007518797,0.6274377942165433,0.5924749960311161,2974.0
Model B add speech and sentiment,1,accepted,0.5903881700554529,0.5225785340314136,0.5544176358271133,3056.0
Model C add party indicators,0,rejected,0.5688439129101502,0.6237390719569603,0.595028067361668,2974.0
Model C add party indicators,1,accepted,0.5958829902491874,0.5399214659685864,0.5665236051502146,3056.0
