speaker_party_clean,most_common_category,share
CDA,Early afternoon,0.7434025828186412
ChristenUnie,Early afternoon,0.5092402464065708
D66,Early afternoon,0.9584450402144772
GroenLinks,Early afternoon,0.6534090909090909
Other,Early afternoon,0.7354323308270677
PVV,Early afternoon,0.7369494290375204
PvdA,Early afternoon,0.8189987163029525
PvdD,Late afternoon,0.40102389078498296
SGP,Late afternoon,0.7203647416413373
SP,Early afternoon,0.7139152981849611
VVD,Early afternoon,0.4937600644122383
